Node,Utilised,DropRate,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,ReceivedRate,Used_Bandwidth,Lost_Bandwidth,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,NodeStatus,FloodStatus,Class
3,0.822038,0.190381,1000,0.004815,19.031487,19.038129,0.809619,822.0375,177.9625,90324,73128,17196,130066560,105304320,0.146594,0.780936,0.001838,B,0.023455,NoBlock
9,0.514687,0.494142,100,0.003098,49.392131,49.414235,0.505858,51.46875,48.53125,9048,4577,4471,13029120,6590880,0.405197,0.442631,0.00225,NB,0.291742,NoBlock
9,0.565425,0.444076,100,0.004677,44.3855,44.407604,0.555924,56.5425,43.4575,9048,5030,4018,13029120,7243200,0.359702,0.508883,0.002365,P NB,0.122299,NoBlock
9,0.55125,0.458002,100,0.005004,45.778073,45.800177,0.541998,55.125,44.875,9048,4904,4144,13029120,7061760,0.325181,0.4851,0.002435,P NB,0.120317,NoBlock
9,0.53145,0.477896,100,0.000866,47.75641,47.789567,0.522104,53.145,46.855,9048,4724,4324,13029120,6802560,0.396653,0.451733,0.002294,P NB,0.126929,NoBlock
3,0.820097,0.192972,400,0.000469,19.280576,19.297178,0.807028,328.03875,71.96125,36140,29166,6974,52041600,41999040,0.140869,0.811896,0.00226,B,0.005635,NoBlock
9,0.577238,0.432471,100,0.004838,43.225022,43.247126,0.567529,57.72375,42.27625,9048,5135,3913,13029120,7394400,0.315704,0.496424,0.002764,P NB,0.123125,Wait
9,0.538875,0.47027,100,0.004078,47.004863,47.026967,0.52973,53.8875,46.1125,9048,4793,4255,13029120,6901920,0.352702,0.463433,0.002281,P NB,0.102284,NoBlock
3,0.684394,0.327255,200,0.000493,32.692308,32.725464,0.672745,136.87875,63.12125,18096,12174,5922,26058240,17530560,0.265076,0.657018,0.001902,B,0.021206,NoBlock
9,0.5247,0.484085,100,0.005237,48.386384,48.408488,0.515915,52.47,47.53,9048,4668,4380,13029120,6721920,0.334019,0.456489,0.001917,P NB,0.106886,Wait
3,0.779138,0.233095,300,0.000486,23.291008,23.309464,0.766905,233.74125,66.25875,27092,20777,6315,39012480,29918880,0.191138,0.771346,0.002272,B,0.011468,NoBlock
9,0.513563,0.495469,100,0.000912,49.513705,49.546861,0.504531,51.35625,48.64375,9048,4565,4483,13029120,6573600,0.366647,0.451935,0.001083,P NB,0.076996,Wait
9,0.446906,0.516523,200,0.000569,51.635721,51.652299,0.483477,89.38125,110.61875,18096,8749,9347,26058240,12598560,0.408053,0.384339,0.000726,NB,0.318281,NoBlock
3,0.831741,0.181038,800,0.000666,18.101013,18.103782,0.818962,665.3925,134.6075,72228,59152,13076,104008320,85178880,0.150261,0.823423,0.000758,B,0.027047,NoBlock
9,0.524925,0.483919,200,0.000627,48.380858,48.39191,0.516081,104.985,95.015,18096,9339,8757,26058240,13448160,0.406492,0.451436,0.000755,NB,0.333323,Wait
3,0.721564,0.289414,1000,0.000475,28.93251,28.941367,0.710586,721.56375,278.43625,90324,64183,26141,130066560,92423520,0.20259,0.692701,0.000817,B,0.036466,Wait
3,0.776325,0.235752,600,0.000426,23.569688,23.575225,0.764248,465.795,134.205,54184,41410,12774,78024960,59630400,0.181529,0.737509,0.000921,B,0.005446,NoBlock
9,0.557494,0.45231,200,0.000665,45.092838,45.23099,0.54769,111.49875,88.50125,18096,9911,8185,26058240,14271840,0.307571,0.47387,0.000945,P NB,0.076893,Wait
9,0.718144,0.293656,200,0.002066,29.354553,29.354553,0.706344,143.62875,56.37125,18096,12782,5314,26058240,18406080,0.220242,0.703781,0.000934,B,0.004405,NoBlock
3,0.691228,0.319812,400,0.000856,31.9765,31.981184,0.680188,276.49125,123.50875,36140,24582,11558,52041600,35398080,0.236661,0.601368,0.000767,B,0.021299,Wait
9,0.517444,0.49149,200,0.000633,49.132405,49.148983,0.50851,103.48875,96.51125,18096,9202,8894,26058240,13250880,0.393192,0.455351,0.001051,P NB,0.110094,Wait
3,0.790275,0.222095,300,0.000713,22.202126,22.209508,0.777905,237.0825,62.9175,27092,21075,6017,39012480,30348000,0.188781,0.750761,0.001035,B,0.018878,NoBlock
9,0.742725,0.269839,200,0.000538,26.967286,26.983864,0.730161,148.545,51.455,18096,13213,4883,26058240,19026720,0.223966,0.735298,0.001093,B,0.022397,Wait
3,0.486844,0.488448,200,0.001881,60.969275,60.980327,0.390197,97.36875,102.63125,18096,7061,11035,26058240,10167840,0.400528,0.418686,0.001088,NB,0.248327,Wait
9,0.530606,0.478448,200,0.000641,47.828249,47.844828,0.521552,106.12125,93.87875,18096,9438,8658,26058240,13590720,0.368405,0.466934,0.001021,P NB,0.099469,NoBlock
3,0.395438,0.611516,100,0.000507,61.074271,61.151636,0.388484,39.54375,60.45625,9048,3515,5533,13029120,5061600,0.415831,0.347985,0.000996,NB,0.224549,Wait
9,0.748575,0.264092,200,0.000575,26.392573,26.409151,0.735908,149.715,50.285,18096,13317,4779,26058240,19176480,0.171659,0.733604,0.001144,B,0.027466,NoBlock
3,0.804499,0.207652,1000,0.000561,20.759709,20.765245,0.792348,804.49875,195.50125,90324,71568,18756,130066560,103057920,0.153663,0.772319,0.001127,B,0.023049,NoBlock
9,0.255375,0.748487,300,0.003407,74.841282,74.848664,0.251513,76.6125,223.3875,27092,6814,20278,39012480,9812160,0.494001,0.227284,0.001277,NB,0.296401,Wait
3,0.780688,0.231163,900,0.000488,23.113834,23.116295,0.768837,702.61875,197.38125,81276,62488,18788,117037440,89982720,0.18493,0.765074,0.000947,B,0.031438,NoBlock
9,0.518925,0.489148,300,0.001236,48.907427,48.914809,0.510852,155.6775,144.3225,27092,13840,13252,39012480,19929600,0.371753,0.451465,0.001068,P NB,0.115243,Wait
3,0.796233,0.21601,800,0.000499,21.594119,21.596888,0.78399,636.98625,163.01375,72228,56626,15602,104008320,81545760,0.153367,0.780308,0.001041,B,0.027606,NoBlock
9,0.46875,0.538535,300,0.001276,53.846154,53.853536,0.461465,140.625,159.375,27092,12502,14590,39012480,18002880,0.350048,0.4125,0.001038,P NB,0.136519,Wait
3,0.792514,0.220435,700,0.000419,22.034005,22.043487,0.779565,554.76,145.24,63284,49334,13950,91128960,71040960,0.185165,0.776664,0.000944,B,0.037033,NoBlock
9,0.5556,0.452975,300,0.001833,45.290123,45.297505,0.547025,166.68,133.32,27092,14820,12272,39012480,21340800,0.330672,0.47226,0.000957,P NB,0.085975,Wait
3,0.677775,0.332737,600,0.000427,33.262587,33.27366,0.667263,406.665,193.335,54184,36155,18029,78024960,52063200,0.272844,0.657442,0.000901,P NB,0.057297,NoBlock
9,0.54765,0.4608,300,0.001911,46.072641,46.080024,0.5392,164.295,135.705,27092,14608,12484,39012480,21035520,0.354816,0.492885,0.000908,P NB,0.102897,Wait
3,0.771255,0.240329,500,0.000434,24.019651,24.032929,0.759671,385.6275,114.3725,45188,34328,10860,65070720,49432320,0.185054,0.748117,0.000757,B,0.011103,NoBlock
9,0.686888,0.323749,300,0.001577,32.367489,32.374871,0.676251,206.06625,93.93375,27092,18321,8771,39012480,26382240,0.223387,0.666281,0.000865,B,0.004468,NoBlock
3,0.76455,0.247537,400,0.000989,24.748201,24.753735,0.752463,305.82,94.18,36140,27194,8946,52041600,39159360,0.160899,0.726323,0.000784,B,0.008045,Wait
9,0.732188,0.279308,300,0.000474,27.923372,27.930754,0.720692,219.65625,80.34375,27092,19525,7567,39012480,28012480,0.189929,0.710222,0.000725,B,0.001899,NoBlock
3,0.357525,0.648088,300,0.00043,64.768197,64.8088,0.351912,107.2575,192.7425,27092,9534,17558,39012480,13728960,0.505509,0.314622,0.000868,NB,0.272975,Wait
9,0.56925,0.439687,300,0.000538,43.957626,43.968699,0.560313,170.775,129.225,27092,15180,11912,39012480,21859200,0.373734,0.50094,0.000874,P NB,0.104646,NoBlock
3,0.679106,0.332339,200,0.001331,33.222812,33.233864,0.667661,135.82125,64.17875,18096,12082,6014,26058240,17398080,0.219344,0.597614,0.00098,B,0.021934,NoBlock
9,0.822225,0.190536,300,0.00141,19.046213,19.053595,0.809464,246.6675,53.3325,27092,21930,5162,39012480,31579200,0.16005,0.781114,0.000995,B,0.024008,NoBlock
3,0.765,0.246513,1000,0.000847,24.64572,24.651255,0.753487,765,235,90324,68058,22266,130066560,980066560,0.20214,0.72675,0.000988,B,0.032342,NoBlock
3,0.67095,0.339328,800,0.00041,33.924517,33.932824,0.660672,536.76,263.24,72228,47719,24509,104008320,68715360,0.254496,0.644112,0.000746,B,0.050899,Wait
3,0.737388,0.273882,900,0.000483,27.380777,27.388159,0.726118,663.64875,236.35125,81276,59016,22260,117037440,84983040,0.20815,0.715266,0.000831,B,0.037467,NoBlock
9,0.563428,0.445545,400,0.001486,44.548976,44.55451,0.554455,225.37125,174.62875,36140,20038,16102,52041600,28854720,0.29406,0.507085,0.000948,P NB,0.117624,Wait
3,0.669164,0.341114,800,0.000491,34.103118,34.111425,0.658886,535.33125,264.66875,72228,47590,24638,104008320,68529600,0.228547,0.635706,0.00083,B,0.038853,Wait
3,0.748495,0.263827,700,0.000495,26.373175,26.382656,0.736173,523.94625,176.05375,63284,46588,16696,91128960,67086720,0.208423,0.718555,0.000904,B,0.031263,NoBlock
9,0.523659,0.48456,400,0.00152,48.45047,48.456004,0.51544,209.46375,190.53625,36140,18628,17512,52041600,26824320,0.387648,0.466057,0.000899,P NB,0.120171,Wait
9,0.635906,0.374073,400,0.001348,37.401771,37.407305,0.625927,254.3625,145.6375,36140,22621,13519,52041600,32574240,0.265592,0.623188,0.000822,B,0.039839,NoBlock
3,0.67875,0.331906,600,0.000484,33.083567,33.19061,0.668094,407.25,192.75,54184,36200,17984,78024960,52125000,0.238972,0.590513,0.000808,B,0.047794,Wait
9,0.695953,0.315053,400,0.000486,31.496956,31.505257,0.684947,278.38125,121.61875,36140,24754,11386,52041600,35645760,0.255193,0.675075,0.000805,B,0.015312,NoBlock
3,0.723105,0.28782,500,0.00069,28.777552,28.781978,0.71218,361.5525,138.4475,45188,32182,13006,65070720,46342030,0.244647,0.694181,0.000809,B,0.014679,NoBlock
9,0.54585,0.463473,200,0.000495,46.330681,46.347259,0.536527,109.17,90.83,18096,9709,8387,26058240,13980960,0.384682,0.463973,0.000767,P NB,0.107711,Wait
3,0.384609,0.62161,400,0.000427,62.000553,62.16104,0.37839,153.84375,246.15625,36140,13675,22465,52041600,19692000,0.435127,0.326918,0.000754,NB,0.30894,Wait
9,0.797006,0.215606,400,0.001155,21.555064,21.560598,0.784394,318.8025,81.1975,36140,28348,7792,52041600,40821120,0.166017,0.789036,0.000841,B,0.006641,NoBlock
3,0.68685,0.323933,300,0.000446,32.37118,32.393326,0.676067,206.055,93.945,27092,18316,8776,39012480,26375040,0.265625,0.679982,0.000759,B,0.013281,Wait
9,0.772059,0.240343,400,0.000831,24.028777,24.034311,0.759657,308.82375,91.17625,36140,27454,8686,52041600,39533760,0.197081,0.764339,0.000755,B,0.017737,Wait
3,0.400613,0.606432,100,0.000527,60.521662,60.643236,0.393568,40.06125,59.93875,9048,3561,5487,13029120,5127840,0.460889,0.340521,0.000786,NB,0.29036,NoBlock
9,0.579116,0.429498,1000,0.00048,42.943182,42.949825,0.570502,579.11625,420.88375,90324,51530,38794,130066560,74203200,0.335009,0.521205,0.000506,P NB,0.077052,NoBlock
9,0.276818,0.727428,500,0.001247,72.738338,72.742764,0.272572,138.40875,361.59125,45188,12317,32871,65070720,17736480,0.480102,0.249136,0.000826,NB,0.307265,Wait
9,0.439853,0.566721,500,0.001211,56.667699,56.672125,0.433279,219.92625,280.07375,45188,19579,25609,65070720,28193760,0.408039,0.373875,0.000735,NB,0.2081,NoBlock
3,0.6761,0.334256,900,0.000414,33.418229,33.425611,0.665744,608.49,291.51,81276,54109,27167,117037440,77916960,0.217266,0.655817,0.000744,B,0.036935,NoBlock
9,0.540534,0.467958,400,0.001533,46.79026,46.795794,0.532042,216.21375,183.78625,36140,19228,16912,52041600,27688320,0.350968,0.470265,0.000786,P NB,0.094761,NoBlock
9,0.487148,0.519828,500,0.001122,51.978401,51.982827,0.480172,243.57375,256.42625,45188,21698,23490,65070720,31245120,0.353483,0.414075,0.000814,P NB,0.141393,Wait
9,0.548505,0.459768,500,0.001253,45.972382,45.976808,0.540232,274.2525,225.7475,45188,24412,20776,65070720,35153280,0.390803,0.471714,0.000742,P NB,0.132873,NoBlock
3,0.674984,0.336041,700,0.000418,33.594589,33.604071,0.663959,472.48875,227.51125,63284,42018,21266,91128960,60505920,0.278914,0.654734,0.000715,P NB,0.092042,NoBlock
9,0.619133,0.390015,500,0.000799,38.997079,39.001505,0.609985,309.56625,190.43375,45188,27564,17624,65070720,39692160,0.25351,0.538645,0.000774,B,0.040562,NoBlock
3,0.664631,0.345656,600,0.000564,34.561863,34.565554,0.654344,398.77875,201.22125,54184,35455,18729,78024960,51055200,0.262698,0.6314,0.000733,B,0.039405,NoBlock
3,0.564313,0.444424,900,0.00041,44.435012,44.442394,0.555576,507.88125,392.11875,81276,45155,36121,117037440,65023200,0.306653,0.502238,0.000658,P NB,0.073597,Wait
9,0.542475,0.465301,500,0.001291,46.525626,46.530052,0.534699,271.2375,228.7625,45188,24162,21026,65070720,34793280,0.339669,0.471953,0.000808,P NB,0.112091,Wait
3,0.646791,0.363475,400,0.000432,36.330935,36.347537,0.636525,258.71625,141.28375,36140,23004,13136,52041600,33125700,0.283511,0.575644,0.000785,P NB,0.104899,NoBlock
9,0.759645,0.251748,500,0.001028,25.170399,25.174825,0.748252,379.8225,120.1775,45188,33812,11376,65070720,48689280,0.203916,0.729259,0.00079,B,0.012235,NoBlock
3,0.640463,0.369593,300,0.000468,36.937103,36.95925,0.630408,192.13875,107.86125,27092,17079,10013,39012480,24593760,0.240235,0.621249,0.000724,B,0.014414,Wait
9,0.794993,0.216894,500,0.001009,21.684961,21.689387,0.783106,397.49625,102.50375,45188,35387,9801,65070720,509557280,0.180022,0.779093,0.000761,B,0.027003,NoBlock
3,0.623081,0.387489,200,0.000426,38.715738,38.748895,0.612511,124.61625,75.38375,18096,11084,7012,26058240,15960960,0.321616,0.529619,0.000686,P NB,0.093269,NoBlock
3,0.559238,0.450597,100,0.000704,44.993369,45.059682,0.549403,55.92375,44.07625,9048,4971,4077,13029120,7158240,0.351466,0.492129,0.000626,P NB,0.087866,NoBlock
3,0.679061,0.331119,1000,0.000478,33.104158,33.111908,0.668881,679.06125,320.93875,90324,60416,29908,130066560,86999040,0.261584,0.651899,0.000523,B,0.047085,NoBlock
9,0.378919,0.626919,600,0.000434,62.680865,62.691939,0.373081,227.35125,372.64875,54184,20215,33969,78024960,29109600,0.438844,0.322081,0.000566,NB,0.285248,Wait
3,0.650763,0.359097,900,0.000799,35.907279,35.90974,0.640903,585.68625,314.31375,81276,52090,29186,117037440,75009600,0.237004,0.585686,0.000566,B,0.042661,NoBlock
9,0.468563,0.538794,600,0.000424,53.772331,53.879374,0.461206,281.1375,318.8625,54184,24990,29194,78024960,35985600,0.371768,0.417021,0.000582,P NB,0.092942,Wait
3,0.617527,0.391884,800,0.000865,39.185634,39.188403,0.608116,494.02125,305.97875,72228,43923,28305,104008320,63249120,0.301751,0.537248,0.000582,P NB,0.090525,NoBlock
9,0.551775,0.456851,600,0.000426,45.679536,45.685073,0.543149,331.065,268.935,54184,29430,24754,78024960,42379200,0.301521,0.469009,0.000589,P NB,0.117593,Wait
3,0.611196,0.398726,700,0.000421,39.867897,39.872638,0.601274,427.8375,272.1625,63284,38051,25233,91128960,54793440,0.307019,0.519517,0.000591,P NB,0.092106,NoBlock
3,0.549713,0.458881,600,0.000436,45.884394,45.888085,0.541119,329.8275,270.1725,54184,29320,24864,78024960,42220800,0.367105,0.467256,0.000646,P NB,0.146842,NoBlock
9,0.666244,0.344031,600,0.000863,34.399454,34.403145,0.655969,399.74625,200.25375,54184,35543,18641,78024960,51181920,0.254583,0.632932,0.000645,B,0.050917,NoBlock
3,0.613058,0.39599,500,0.000438,39.594583,39.599009,0.60401,306.52875,193.47125,45188,27294,17894,65070720,39303360,0.265313,0.545621,0.000606,B,0.053063,Wait
9,0.729263,0.282113,600,0.000938,28.207589,28.21128,0.717887,437.5575,162.4425,54184,38898,15286,78024960,56013120,0.211585,0.700092,0.000604,B,0.031738,NoBlock
3,0.557522,0.4513,400,0.000428,45.113448,45.13005,0.5487,223.00875,176.99125,36140,19830,16310,52041600,28555200,0.374579,0.479469,0.0006,P NB,0.112374,Wait
9,0.756806,0.254872,600,0.000925,25.483538,25.487229,0.745128,454.08375,145.91625,54184,40374,13810,78024960,58138560,0.170764,0.734102,0.000685,B,0.010246,NoBlock
3,0.389288,0.616824,300,0.000445,61.586446,61.682415,0.383176,116.78625,183.21375,27092,10381,16711,39012480,14948640,0.474955,0.342573,0.000628,NB,0.327719,Wait
9,0.839569,0.173446,600,0.000888,17.340912,17.344604,0.826554,503.74125,96.25875,54184,44786,9398,78024960,64491840,0.145695,0.822777,0.000699,B,0.008742,NoBlock
3,0.360394,0.645944,200,0.000455,64.273873,64.594385,0.354056,72.07875,127.92125,18096,6407,11689,26058240,9226080,0.452161,0.306335,0.000647,NB,0.284861,Wait
3,0.401175,0.60588,100,0.000512,60.543767,60.587975,0.39412,40.1175,59.8825,9048,3566,5482,13029120,5135040,0.424116,0.361058,0.00069,NB,0.216299,NoBlock
3,0.414338,0.592728,100,0.00327,59.250663,59.272767,0.407272,41.43375,58.56625,9048,3685,5363,13029120,5306400,0.403055,0.364617,0.001392,NB,0.342597,Wait
3,0.65565,0.354181,1000,0.000907,35.411408,35.418051,0.645819,655.65,344.35,90324,58333,31991,130066560,83999520,0.25501,0.557303,0.000741,B,0.043352,NoBlock
